,0,1,2,3,4,5,6,7
0,-0.767712,-0.037205,-0.00029,-7e-05,0.0,0.0,0.0,0.0
1,0.561093,0.520001,0.000215,0.000289,0.0,0.0,0.0,0.0
2,0.002052,-0.743904,7.4e-05,-0.000346,0.0,0.0,0.0,0.0
3,-0.399457,-0.622002,-5.6e-05,-0.000308,0.0,0.0,0.0,0.0
4,0.259539,-0.664697,0.000238,-0.000111,0.0,0.0,0.0,0.0
5,-0.413796,0.570907,-0.000227,-4.1e-05,0.0,0.0,0.0,0.0
6,0.631206,-0.053921,-2.5e-05,0.000185,0.0,0.0,0.0,0.0
7,0.587804,-0.019768,-0.000105,0.000147,0.0,0.0,0.0,0.0
8,-0.561702,-0.115169,0.000214,-1.5e-05,0.0,0.0,0.0,0.0
9,0.090008,0.510238,3.9e-05,-0.00025,0.0,0.0,0.0,0.0
10,-0.099338,-0.494086,-0.000194,0.000257,0.0,0.0,0.0,0.0
11,-0.415814,-0.275917,-0.000119,0.000368,0.0,0.0,0.0,0.0
12,0.382002,0.239498,0.000216,-0.000472,0.0,0.0,0.0,0.0
13,0.404734,-0.227898,-0.000126,-0.000609,0.0,0.0,0.0,0.0
14,0.444961,-0.151802,0.000219,-0.000698,0.0,0.0,0.0,0.0
15,0.113557,-0.499126,-0.000408,-0.000632,0.0,0.0,0.0,0.0
16,-0.35286,-0.418686,-0.000677,-0.000134,0.0,0.0,0.0,0.0
17,-0.285113,-0.484184,-0.000455,-0.000343,0.0,0.0,0.0,0.0
18,-0.564931,-0.081566,-0.000502,2.4e-05,0.0,0.0,0.0,0.0
19,-0.390588,0.358887,-0.000381,0.000233,0.0,0.0,0.0,0.0
20,-0.484255,0.256398,-0.000417,-2e-05,0.0,0.0,0.0,0.0
21,-0.473709,-0.312985,0.0,-0.000367,0.0,0.0,0.0,0.0
22,-0.546061,-0.085077,8e-06,-0.00037,0.0,0.0,0.0,0.0
23,-0.517955,-0.176665,0.000214,-0.000328,0.0,0.0,0.0,0.0
24,0.435995,0.093727,-0.000356,0.000173,0.0,0.0,0.0,0.0
25,0.031625,0.454004,-0.000103,-0.000449,0.0,0.0,0.0,0.0
26,0.423634,0.16155,-0.000337,-0.000344,0.0,0.0,0.0,0.0
27,-0.477589,0.274812,0.000552,0.000129,0.0,0.0,0.0,0.0
28,-0.492288,0.313143,0.000513,0.000443,0.0,0.0,0.0,0.0
29,0.486799,-0.355433,-0.000304,-0.000716,0.0,0.0,0.0,0.0
30,0.070604,0.607592,0.000843,0.000246,0.0,0.0,0.0,0.0
31,0.622683,0.192823,0.000803,-0.000381,0.0,0.0,0.0,0.0
32,0.631346,-0.36851,0.00056,-0.00072,0.0,0.0,0.0,0.0
33,-0.72098,-0.454616,-0.000855,-0.000309,0.0,0.0,0.0,0.0
34,-0.108306,0.736161,-0.000121,0.000877,0.0,0.0,0.0,0.0
35,-0.320263,0.67962,-0.000485,0.000634,0.0,0.0,0.0,0.0
36,0.543821,0.411444,0.00014,0.000625,0.0,0.0,0.0,0.0
37,0.609267,-0.363904,0.000466,0.000355,0.0,0.0,0.0,0.0
38,0.615968,-0.210041,8.5e-05,0.000407,0.0,0.0,0.0,0.0
39,0.018678,-0.715943,0.000255,0.000276,0.0,0.0,0.0,0.0
